Category,Date,Value,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,past_15_mean,past_15_std,past_15_min,past_15_max,past_15_median,past_15_skew,past_15_kurt,past_15_trend,past_7_trend
Alcoholic beverages and tobacco,2009-04-01,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,37.6,37.6,37.5,37.3,35.7,35.3,38.11333333333334,1.4421544729360734,35.3,41.2,38.3,-0.11982394507235594,1.0972725177891043,-0.2992857142857142,-0.30357142857142855
Alcoholic beverages and tobacco,2009-05-01,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,37.6,37.6,37.5,37.3,35.7,38.53333333333334,1.481151418258621,35.7,41.6,38.7,0.5195381165875707,1.0101267175416346,-0.30607142857142855,-0.47857142857142926
Alcoholic beverages and tobacco,2009-06-01,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,37.6,37.6,37.5,37.3,38.92666666666666,1.4582115595416714,37.3,41.6,38.8,0.9576359714900059,-0.1566908069636499,-0.3017857142857143,-0.564285714285715
Alcoholic beverages and tobacco,2009-07-01,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,37.6,37.6,37.5,39.21333333333334,1.5361671536032546,37.5,41.6,38.9,0.6973538659382652,-0.983802135883074,-0.3221428571428572,-0.564285714285715
Alcoholic beverages and tobacco,2009-08-01,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,37.6,37.6,39.52,1.6262138323638227,37.6,42.1,38.9,0.48411107942879944,-1.4129738696942336,-0.34535714285714286,-0.521428571428572
Alcoholic beverages and tobacco,2009-09-01,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,37.6,39.88666666666666,1.775575024229241,37.6,43.1,38.9,0.4259652521157756,-1.3112119630260084,-0.38000000000000006,-0.4714285714285718
Alcoholic beverages and tobacco,2009-10-01,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,37.7,40.266666666666666,1.8592113023179124,37.7,43.3,39.3,0.3163098978785559,-1.4608700479903782,-0.4,-0.34999999999999937
Alcoholic beverages and tobacco,2009-11-01,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,38.3,40.63999999999999,1.8692244381026057,38.3,43.3,41.2,0.17562441557371355,-1.6964416257914405,-0.4025000000000001,-0.3571428571428564
Alcoholic beverages and tobacco,2009-12-01,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,38.7,40.973333333333336,1.8679502389619738,38.7,43.3,41.6,-0.04873148314192545,-1.7587564193232677,-0.402142857142857,-0.34642857142857053
Alcoholic beverages and tobacco,2010-01-01,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,38.8,41.279999999999994,1.8455351527402564,38.8,43.3,41.6,-0.31220931853881567,-1.61414253741221,-0.3953571428571428,-0.2749999999999991
Alcoholic beverages and tobacco,2010-02-01,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,38.9,41.58666666666667,1.7852037365388806,38.9,43.4,41.6,-0.5868571222834635,-1.2346011318937697,-0.37749999999999984,-0.15357142857142797
Alcoholic beverages and tobacco,2010-03-01,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,38.9,41.88666666666667,1.6762486461767905,38.9,43.4,42.1,-0.8918094549119927,-0.5293493160930622,-0.34607142857142836,-0.039285714285714084
Alcoholic beverages and tobacco,2010-04-01,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,38.9,42.35333333333334,1.7577854032303037,38.9,45.9,43.1,-0.3302858272645145,0.7892130481546138,-0.3610714285714283,-0.2892857142857146
Alcoholic beverages and tobacco,2010-05-01,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,39.3,42.826666666666675,1.716918613041842,39.3,46.0,43.3,0.12568545513964927,0.78092778546507,-0.35357142857142837,-0.47857142857142904
Alcoholic beverages and tobacco,2010-06-01,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,41.2,43.286666666666676,1.6265066275683624,41.2,46.2,43.3,0.7162622113295478,-0.344709032842645,-0.33714285714285697,-0.5928571428571436
Alcoholic beverages and tobacco,2010-07-01,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,41.6,43.606666666666676,1.6585133905599516,41.6,46.2,43.3,0.523857457065598,-0.9746330053491752,-0.34535714285714275,-0.5821428571428579
Alcoholic beverages and tobacco,2010-08-01,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,41.6,43.90666666666667,1.6765042996266573,41.6,46.2,43.3,0.2931084054113194,-1.3576202277823377,-0.3503571428571428,-0.48571428571428626
Alcoholic beverages and tobacco,2010-09-01,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,41.6,44.21333333333334,1.6448476554148752,41.6,46.2,43.4,0.10765483116367396,-1.6061798023829428,-0.34178571428571447,-0.31428571428571495
Alcoholic beverages and tobacco,2010-10-01,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,42.1,44.533333333333324,1.5650954633899534,42.1,46.4,43.4,0.015115458816691714,-1.9711871727458932,-0.3217857142857144,-0.06428571428571443
Alcoholic beverages and tobacco,2010-11-01,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,43.1,44.819999999999986,1.4789957983133604,43.1,46.4,45.9,-0.12927586199618912,-2.2563134357805197,-0.29892857142857165,-0.06428571428571393
Alcoholic beverages and tobacco,2010-12-01,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,43.3,45.04666666666665,1.4569374271624265,43.3,46.5,46.0,-0.41645820654169335,-2.060597991753475,-0.29178571428571454,-0.07142857142857093
Alcoholic beverages and tobacco,2011-01-01,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,43.3,45.25333333333332,1.4106060838552792,43.3,46.5,46.0,-0.7406398613769503,-1.6102181668766988,-0.27571428571428586,-0.07857142857142817
Alcoholic beverages and tobacco,2011-02-01,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,43.3,45.47333333333333,1.3397583293088287,43.3,46.6,46.1,-1.0992210920984111,-0.7878126910332508,-0.2535714285714288,-0.07142857142857117
Alcoholic beverages and tobacco,2011-03-01,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,43.3,45.69333333333332,1.2232665091389343,43.3,46.6,46.2,-1.5472498052933685,0.6886077184838735,-0.2196428571428573,-0.0571428571428572
Alcoholic beverages and tobacco,2011-04-01,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,43.4,46.026666666666664,1.2056217522605546,43.4,48.3,46.2,-1.121612440302222,2.58877887215833,-0.21642857142857144,-0.22142857142857153
Alcoholic beverages and tobacco,2011-05-01,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,43.4,46.37333333333333,1.1423451233985205,43.4,48.6,46.4,-0.45944943840005953,3.7564946527505185,-0.2057142857142857,-0.3714285714285716
Alcoholic beverages and tobacco,2011-06-01,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,45.9,46.73333333333333,0.9773628268141232,45.9,48.8,46.4,1.5115937756980244,0.7868891981926689,-0.18142857142857133,-0.464285714285714
Alcoholic beverages and tobacco,2011-07-01,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,46.0,46.919999999999995,1.0698464509318277,46.0,48.8,46.4,1.0928815127062035,-0.6808979855613182,-0.2067857142857142,-0.47500000000000014
Alcoholic beverages and tobacco,2011-08-01,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,46.2,47.11333333333334,1.1506933727519408,46.0,48.9,46.5,0.752891801353452,-1.4796704316135236,-0.22999999999999987,-0.4142857142857141
Alcoholic beverages and tobacco,2011-09-01,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,46.0,47.306666666666665,1.2273471197590973,46.0,49.1,46.6,0.4538548656359455,-1.890926462335579,-0.25357142857142856,-0.31428571428571445
Alcoholic beverages and tobacco,2011-10-01,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,46.1,47.51333333333334,1.2523501716297052,46.1,49.1,46.6,0.18603986096655567,-2.1210027012204273,-0.26107142857142857,-0.1250000000000005
Alcoholic beverages and tobacco,2011-11-01,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,46.2,47.726666666666674,1.2668671520535926,46.2,49.3,48.3,-0.06347044770000027,-2.1368402968622098,-0.2653571428571428,-0.11071428571428552
Alcoholic beverages and tobacco,2011-12-01,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,46.4,47.93333333333333,1.2528063735165977,46.4,49.3,48.6,-0.32982336757097364,-1.9935335881363465,-0.26107142857142857,-0.10357142857142827
Alcoholic beverages and tobacco,2012-01-01,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,46.4,48.126666666666665,1.2226824530320126,46.4,49.3,48.7,-0.6293926434683592,-1.6132744571154642,-0.25142857142857133,-0.09999999999999913
Alcoholic beverages and tobacco,2012-02-01,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,46.5,48.333333333333336,1.170876757371321,46.4,49.5,48.8,-0.9371690249325262,-0.9243091655379616,-0.2364285714285713,-0.08571428571428541
Alcoholic beverages and tobacco,2012-03-01,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,46.4,48.54,1.0953146971141605,46.4,49.6,48.9,-1.2923042846867396,0.24953532624134578,-0.21571428571428566,-0.08214285714285705
Alcoholic beverages and tobacco,2012-04-01,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,46.6,48.906666666666666,1.238931951703716,46.6,51.9,49.1,0.1192342644168488,2.642904028501377,-0.23857142857142846,-0.3285714285714287
Alcoholic beverages and tobacco,2012-05-01,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,46.6,49.28,1.3342734780717613,46.6,52.2,49.1,0.7650072332766021,2.2201729173877007,-0.255,-0.507142857142858
Alcoholic beverages and tobacco,2012-06-01,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,48.3,49.660000000000004,1.3281566172707193,48.3,52.3,49.3,1.4023554392648658,0.5404926417004896,-0.2539285714285714,-0.6142857142857147
Alcoholic beverages and tobacco,2012-07-01,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,48.6,49.92666666666667,1.4330121456302485,48.6,52.3,49.3,1.0501528632032922,-0.77627790294633,-0.28107142857142847,-0.6142857142857141
Alcoholic beverages and tobacco,2012-08-01,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,48.8,50.18,1.5152557539900646,48.7,52.4,49.3,0.7175120528047798,-1.5586324285288709,-0.30499999999999994,-0.5178571428571423
Alcoholic beverages and tobacco,2012-09-01,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,48.7,50.440000000000005,1.5940962509029548,48.7,52.7,49.5,0.4253491155479027,-1.9567337004052296,-0.32857142857142846,-0.3714285714285714
Alcoholic beverages and tobacco,2012-10-01,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,48.9,50.70666666666666,1.6166396659502733,48.9,52.7,49.6,0.15919692456356774,-2.1759373818315018,-0.33535714285714296,-0.1250000000000005
Alcoholic beverages and tobacco,2012-11-01,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,49.1,50.959999999999994,1.6110333861930277,49.1,52.7,51.9,-0.11591422903944064,-2.2019416292811775,-0.3335714285714287,-0.09642857142857204
Alcoholic beverages and tobacco,2012-12-01,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,49.1,51.206666666666656,1.589009874403675,49.1,52.8,52.2,-0.4026205682491652,-2.0120199767046847,-0.3264285714285716,-0.09285714285714342
Alcoholic beverages and tobacco,2013-01-01,53.0,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,49.3,51.44666666666665,1.5183951427490185,49.3,52.8,52.3,-0.714944557594511,-1.5949502781022629,-0.3035714285714289,-0.07142857142857194
Alcoholic beverages and tobacco,2013-02-01,53.4,53.0,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,49.3,51.69333333333332,1.4434416543538613,49.3,53.0,52.3,-1.0561046001552135,-0.8055361596653592,-0.2810714285714288,-0.06785714285714281
Alcoholic beverages and tobacco,2013-03-01,54.9,53.4,53.0,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,49.3,51.96666666666667,1.3425278218275232,49.3,53.4,52.4,-1.3915422066160519,0.4937924089455734,-0.25535714285714295,-0.09642857142857077
Alcoholic beverages and tobacco,2013-04-01,55.6,54.9,53.4,53.0,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,49.5,52.339999999999996,1.326542229148505,49.5,54.9,52.7,-0.8835590444078344,2.120603834765719,-0.25249999999999995,-0.2928571428571422
Alcoholic beverages and tobacco,2013-05-01,55.8,55.6,54.9,53.4,53.0,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,49.6,52.74666666666666,1.3287301492492032,49.6,55.6,52.7,0.04788736448850157,2.8130199909186278,-0.2528571428571429,-0.4857142857142855
Alcoholic beverages and tobacco,2013-06-01,55.7,55.8,55.6,54.9,53.4,53.0,52.7,52.8,52.7,52.7,52.7,52.4,52.3,52.3,52.2,51.9,53.16,1.2414277494654515,51.9,55.8,52.7,1.4289868375458972,0.7734806323091314,-0.2392857142857143,-0.5964285714285713
