Category,Date,Value
Alcoholic beverages and tobacco,2008-01-01,35.3
Alcoholic beverages and tobacco,2008-02-01,35.7
Alcoholic beverages and tobacco,2008-03-01,37.3
Alcoholic beverages and tobacco,2008-04-01,37.5
Alcoholic beverages and tobacco,2008-05-01,37.6
Alcoholic beverages and tobacco,2008-06-01,37.6
Alcoholic beverages and tobacco,2008-07-01,37.7
Alcoholic beverages and tobacco,2008-08-01,38.3
Alcoholic beverages and tobacco,2008-09-01,38.7
Alcoholic beverages and tobacco,2008-10-01,38.8
Alcoholic beverages and tobacco,2008-11-01,38.9
Alcoholic beverages and tobacco,2008-12-01,38.9
Alcoholic beverages and tobacco,2009-01-01,38.9
Alcoholic beverages and tobacco,2009-02-01,39.3
Alcoholic beverages and tobacco,2009-03-01,41.2
Alcoholic beverages and tobacco,2009-04-01,41.6
Alcoholic beverages and tobacco,2009-05-01,41.6
Alcoholic beverages and tobacco,2009-06-01,41.6
Alcoholic beverages and tobacco,2009-07-01,42.1
Alcoholic beverages and tobacco,2009-08-01,43.1
Alcoholic beverages and tobacco,2009-09-01,43.3
Alcoholic beverages and tobacco,2009-10-01,43.3
Alcoholic beverages and tobacco,2009-11-01,43.3
Alcoholic beverages and tobacco,2009-12-01,43.3
Alcoholic beverages and tobacco,2010-01-01,43.4
Alcoholic beverages and tobacco,2010-02-01,43.4
Alcoholic beverages and tobacco,2010-03-01,45.9
Alcoholic beverages and tobacco,2010-04-01,46.0
Alcoholic beverages and tobacco,2010-05-01,46.2
Alcoholic beverages and tobacco,2010-06-01,46.0
Alcoholic beverages and tobacco,2010-07-01,46.1
Alcoholic beverages and tobacco,2010-08-01,46.2
Alcoholic beverages and tobacco,2010-09-01,46.4
Alcoholic beverages and tobacco,2010-10-01,46.4
Alcoholic beverages and tobacco,2010-11-01,46.5
Alcoholic beverages and tobacco,2010-12-01,46.4
Alcoholic beverages and tobacco,2011-01-01,46.6
Alcoholic beverages and tobacco,2011-02-01,46.6
Alcoholic beverages and tobacco,2011-03-01,48.3
Alcoholic beverages and tobacco,2011-04-01,48.6
Alcoholic beverages and tobacco,2011-05-01,48.8
Alcoholic beverages and tobacco,2011-06-01,48.7
Alcoholic beverages and tobacco,2011-07-01,48.9
Alcoholic beverages and tobacco,2011-08-01,49.1
Alcoholic beverages and tobacco,2011-09-01,49.1
Alcoholic beverages and tobacco,2011-10-01,49.3
Alcoholic beverages and tobacco,2011-11-01,49.3
Alcoholic beverages and tobacco,2011-12-01,49.3
Alcoholic beverages and tobacco,2012-01-01,49.5
Alcoholic beverages and tobacco,2012-02-01,49.6
Alcoholic beverages and tobacco,2012-03-01,51.9
Alcoholic beverages and tobacco,2012-04-01,52.2
Alcoholic beverages and tobacco,2012-05-01,52.3
Alcoholic beverages and tobacco,2012-06-01,52.3
Alcoholic beverages and tobacco,2012-07-01,52.4
Alcoholic beverages and tobacco,2012-08-01,52.7
Alcoholic beverages and tobacco,2012-09-01,52.7
Alcoholic beverages and tobacco,2012-10-01,52.7
Alcoholic beverages and tobacco,2012-11-01,52.8
Alcoholic beverages and tobacco,2012-12-01,52.7
Alcoholic beverages and tobacco,2013-01-01,53.0
Alcoholic beverages and tobacco,2013-02-01,53.4
Alcoholic beverages and tobacco,2013-03-01,54.9
Alcoholic beverages and tobacco,2013-04-01,55.6
Alcoholic beverages and tobacco,2013-05-01,55.8
Alcoholic beverages and tobacco,2013-06-01,55.7
Alcoholic beverages and tobacco,2013-07-01,56.1
Alcoholic beverages and tobacco,2013-08-01,56.1
Alcoholic beverages and tobacco,2013-09-01,56.3
Alcoholic beverages and tobacco,2013-10-01,56.7
Alcoholic beverages and tobacco,2013-11-01,56.4
Alcoholic beverages and tobacco,2013-12-01,56.4
Alcoholic beverages and tobacco,2014-01-01,56.7
Alcoholic beverages and tobacco,2014-02-01,57.0
Alcoholic beverages and tobacco,2014-03-01,58.1
Alcoholic beverages and tobacco,2014-04-01,58.4
Alcoholic beverages and tobacco,2014-05-01,58.7
Alcoholic beverages and tobacco,2014-06-01,58.8
Alcoholic beverages and tobacco,2014-07-01,59.4
Alcoholic beverages and tobacco,2014-08-01,59.5
Alcoholic beverages and tobacco,2014-09-01,59.7
Alcoholic beverages and tobacco,2014-10-01,60.4
Alcoholic beverages and tobacco,2014-11-01,60.7
Alcoholic beverages and tobacco,2014-12-01,60.7
Alcoholic beverages and tobacco,2015-01-01,61.0
Alcoholic beverages and tobacco,2015-02-01,61.6
Alcoholic beverages and tobacco,2015-03-01,63.3
Alcoholic beverages and tobacco,2015-04-01,64.0
Alcoholic beverages and tobacco,2015-05-01,64.3
Alcoholic beverages and tobacco,2015-06-01,64.5
Alcoholic beverages and tobacco,2015-07-01,64.7
Alcoholic beverages and tobacco,2015-08-01,64.8
Alcoholic beverages and tobacco,2015-09-01,64.8
Alcoholic beverages and tobacco,2015-10-01,64.9
Alcoholic beverages and tobacco,2015-11-01,65.0
Alcoholic beverages and tobacco,2015-12-01,64.8
Alcoholic beverages and tobacco,2016-01-01,66.0
Alcoholic beverages and tobacco,2016-02-01,66.3
Alcoholic beverages and tobacco,2016-03-01,67.2
Alcoholic beverages and tobacco,2016-04-01,67.8
Alcoholic beverages and tobacco,2016-05-01,67.9
Alcoholic beverages and tobacco,2016-06-01,67.8
Alcoholic beverages and tobacco,2016-07-01,68.0
Alcoholic beverages and tobacco,2016-08-01,68.1
Alcoholic beverages and tobacco,2016-09-01,68.2
Alcoholic beverages and tobacco,2016-10-01,68.3
Alcoholic beverages and tobacco,2016-11-01,68.3
Alcoholic beverages and tobacco,2016-12-01,68.4
Alcoholic beverages and tobacco,2017-01-01,68.4
Alcoholic beverages and tobacco,2017-02-01,68.1
