iter	RMSE
0	16.93827034
1	15.09627509
2	13.45246631
3	11.99115649
4	10.68781644
5	9.534145098
6	8.501489428
7	7.579974918
8	6.761659484
9	6.039297497
10	5.396175752
11	4.818734852
12	4.310728869
13	3.864525535
14	3.469546803
15	3.110562743
16	2.793954508
17	2.51425018
18	2.272188196
19	2.056118578
20	1.865690121
21	1.70379379
22	1.555270004
23	1.424044464
24	1.308820849
25	1.209764776
26	1.129012013
27	1.054798464
28	0.9959544474
29	0.9433718938
30	0.8991733198
31	0.8574370098
32	0.821328725
33	0.7965149646
34	0.7729448989
35	0.7518751554
36	0.734910507
37	0.7189107831
38	0.7072051217
39	0.6962045027
40	0.686996885
41	0.6762284684
42	0.6676680971
43	0.6622546652
44	0.6579748089
45	0.6520881302
46	0.6500131883
47	0.6466357993
48	0.6442067194
49	0.6405108966
50	0.6373158505
51	0.6349601186
52	0.6320611439
53	0.6271817063
54	0.6246271539
55	0.6227929315
56	0.6201751059
57	0.6179346953
58	0.614616349
59	0.6125379001
60	0.6113933942
61	0.6106953384
62	0.6088766096
63	0.6078996601
64	0.6063475766
65	0.605393468
66	0.6039759942
67	0.6024736883
68	0.6016868258
69	0.6013500775
70	0.6011175063
71	0.600358822
72	0.5998643943
73	0.5991963615
74	0.5982122207
75	0.5977489676
76	0.5968033531
77	0.596341632
78	0.5951248561
79	0.5936295678
80	0.5919697709
81	0.590600535
82	0.5881147218
83	0.5868004489
84	0.5858547645
85	0.584515642
86	0.5835708324
87	0.583246179
88	0.5814985253
89	0.5805851137
90	0.5794079047
91	0.5788953393
92	0.5783145901
93	0.5774153377
94	0.576972624
95	0.5762828054
96	0.5756537572
97	0.5751060377
98	0.5744687953
99	0.5732872008
100	0.5723175073
101	0.5717415944
102	0.5712911556
103	0.5708723995
104	0.5696222212
105	0.5684981184
106	0.5663554626
107	0.5649042193
108	0.5647378308
109	0.5627024141
110	0.5621505039
111	0.5615689866
112	0.5609005934
113	0.5604781938
114	0.5593435478
115	0.5588289479
116	0.55852644
117	0.5580209616
118	0.5565141968
119	0.555864291
120	0.5550532593
121	0.5539311566
122	0.5527101105
123	0.5518989928
124	0.5513981925
125	0.5498751369
126	0.5481471132
127	0.5470164924
128	0.5460906181
129	0.5458124745
130	0.5447164937
131	0.5443469501
132	0.5435872856
133	0.5433914187
134	0.5431445044
135	0.5423064694
136	0.5417444166
137	0.541007101
138	0.5399148881
139	0.5395414663
140	0.5388046079
141	0.5376648241
142	0.5370380886
143	0.5364222974
144	0.5348567038
145	0.5345578047
146	0.5339762695
147	0.5335232512
148	0.5330095314
149	0.5327454649
150	0.5320633389
151	0.5316829032
152	0.5309073248
153	0.5305241416
154	0.5304677097
155	0.530106488
156	0.5296981138
157	0.5288946468
158	0.5285956817
159	0.528403927
160	0.5277852333
161	0.5273291634
162	0.5262588923
163	0.5256718505
164	0.5241213639
165	0.5236420456
166	0.52350931
167	0.5230183905
168	0.5215357282
169	0.5213395256
170	0.5210747752
171	0.5206773388
172	0.5203646928
173	0.5201157247
174	0.5198223514
175	0.5194717597
176	0.5189610298
177	0.5184280916
178	0.5181343453
179	0.5174705095
180	0.5173859761
181	0.5171168281
182	0.5165809602
183	0.5159079516
184	0.5153237513
185	0.5150537407
186	0.5143906244
187	0.5142761976
188	0.5133362151
189	0.5129845272
190	0.5126679565
191	0.5124087259
192	0.5118288718
193	0.5117209047
194	0.5115566021
195	0.5110586712
196	0.5109999429
197	0.5108304659
198	0.5105455201
199	0.5100995144
200	0.5098744228
201	0.5091068513
202	0.5089293643
203	0.5082267093
204	0.5081344928
205	0.5080480008
206	0.5073373421
207	0.507254401
208	0.5068896929
209	0.5065598587
210	0.5063803302
211	0.5058783957
212	0.5056884487
213	0.5051165203
214	0.5047033884
215	0.504503006
216	0.5041114037
217	0.5037070635
218	0.5035750255
219	0.5032347136
220	0.5022583662
221	0.5020291518
222	0.5014091461
223	0.5012685645
224	0.5010856309
225	0.4998794468
226	0.4996499435
227	0.4991590997
228	0.4988125397
229	0.4985432793
230	0.4982648357
231	0.4977659283
232	0.4972955323
233	0.4969460019
234	0.4967979801
235	0.4962733293
236	0.4961124079
237	0.4959056244
238	0.4957588408
239	0.495487043
240	0.4949732042
241	0.4943884791
242	0.4942933187
243	0.4934348289
244	0.4932788772
245	0.4927539255
246	0.4925414988
247	0.4919028311
248	0.4909926219
249	0.4909616892
250	0.4909069203
251	0.4901967703
252	0.489904371
253	0.4894982911
254	0.4892078269
255	0.4889124806
256	0.4877223707
257	0.4872351902
258	0.487111645
259	0.4867490831
260	0.4865277449
261	0.4862519652
262	0.4861197974
263	0.4859199648
264	0.4856489136
265	0.485353545
266	0.485144947
267	0.4850560583
268	0.4848594688
269	0.4845521613
270	0.4844067257
271	0.484047745
272	0.4836888132
273	0.4828159678
274	0.4820210804
275	0.4816407835
276	0.4812054817
277	0.4808937084
278	0.4805912605
279	0.4800479746
280	0.4794490198
281	0.4788895453
282	0.4786296192
283	0.4784451083
284	0.4780420925
285	0.4778591739
286	0.4774578918
287	0.4772657176
288	0.4771809487
289	0.476892802
290	0.4767095764
291	0.4764019326
292	0.476092922
293	0.4753812894
294	0.4748497642
295	0.4738181799
296	0.4734968943
297	0.4732769042
298	0.4729840198
299	0.4726634999
300	0.4723976033
301	0.4720753202
302	0.4718134891
303	0.4707664119
304	0.4705946523
305	0.4701347338
306	0.4700825692
307	0.4698168971
308	0.4697755857
309	0.4696247855
310	0.469089391
311	0.4684027298
312	0.468217543
313	0.4678104521
314	0.4675902801
315	0.4674765146
316	0.4671643109
317	0.4668146535
318	0.4661616963
319	0.4658205715
320	0.4656265521
321	0.4653951016
322	0.4650271169
323	0.4649209543
324	0.4647638685
325	0.4645643523
326	0.4644628866
327	0.464284354
328	0.4637936519
329	0.4634192443
330	0.4632411111
331	0.4630101045
332	0.4626014092
333	0.4623676652
334	0.4621415383
335	0.4616529223
336	0.4614043539
337	0.4609367356
338	0.4605090478
339	0.4603300451
340	0.4602590988
341	0.4598658295
342	0.4597735088
343	0.4596155782
344	0.458815257
345	0.4586862396
346	0.4582695055
347	0.4581547257
348	0.4580739764
349	0.45785091
350	0.4576851569
351	0.4573038541
352	0.4571914644
353	0.45680343
354	0.456521884
355	0.4563127409
356	0.4560807378
357	0.4555993684
358	0.4552423242
359	0.4548729025
360	0.4547831637
361	0.4546006335
362	0.454466339
363	0.4542728144
364	0.4537672232
365	0.4535399236
366	0.4530727276
367	0.4528558858
368	0.4527371226
369	0.4523683458
370	0.4522528101
371	0.4521090591
372	0.4518225146
373	0.451258236
374	0.4510369733
375	0.450958312
376	0.4500701773
377	0.4498207206
378	0.4495311663
379	0.4492839124
380	0.4490008922
381	0.4488728576
382	0.4480788581
383	0.4479717953
384	0.4478644232
385	0.4478150536
386	0.4477692862
387	0.4476071146
388	0.4464628777
389	0.4462284415
390	0.4460442802
391	0.4454849773
392	0.4449924976
393	0.4445427741
394	0.4435688398
395	0.4431577617
396	0.4429609754
397	0.4429098872
398	0.4422941038
399	0.4421179857
400	0.4419690438
401	0.4416467271
402	0.4412570122
403	0.4411623105
404	0.44092857
405	0.4408335105
406	0.4405838092
407	0.4403279911
408	0.4398841154
409	0.4393817863
410	0.4390433274
411	0.43839501
412	0.4383876177
413	0.4378763573
414	0.4377752881
415	0.4373088526
416	0.4370219303
417	0.4368324155
418	0.4364497711
419	0.4363703626
420	0.4362794804
421	0.4361198567
422	0.4359536763
423	0.4358104354
424	0.4354024761
425	0.4351796697
426	0.4349660338
427	0.4344318128
428	0.4343021469
429	0.4341277833
430	0.4336663819
431	0.4333721189
432	0.4329174888
433	0.4323321719
434	0.4322516393
435	0.432110123
