iter	Passed	Remaining
0	36	24179
1	178	58888
2	309	67950
3	367	60387
4	439	57762
5	461	50449
6	480	44929
7	500	40948
8	535	38831
9	560	36570
10	581	34424
11	613	33211
12	638	31870
13	666	30827
14	701	30238
15	727	29366
16	751	28522
17	779	27901
18	810	27425
19	833	26760
20	877	26790
21	903	26276
22	928	25783
23	982	26109
24	1046	26654
25	1105	27039
26	1146	26972
27	1181	26756
28	1216	26562
29	1245	26239
30	1280	26060
31	1314	25884
32	1343	25611
33	1387	25635
34	1427	25573
35	1463	25454
36	1495	25266
37	1544	25369
38	1571	25098
39	1602	24912
40	1625	24613
41	1647	24326
42	1664	23956
43	1680	23604
44	1708	23419
45	1728	23149
46	1752	22937
47	1773	22685
48	1798	22503
49	1819	22268
50	1845	22113
51	1868	21915
52	1888	21703
53	1915	21562
54	1934	21351
55	1954	21148
56	1993	21155
57	2014	20978
58	2033	20783
59	2061	20685
60	2090	20596
61	2112	20440
62	2128	20234
63	2141	20012
64	2162	19859
65	2174	19640
66	2202	19558
67	2234	19519
68	2256	19393
69	2285	19326
70	2303	19175
71	2329	19089
72	2348	18952
73	2368	18823
74	2385	18668
75	2406	18552
76	2428	18452
77	2451	18351
78	2472	18248
79	2493	18139
80	2519	18074
81	2543	17991
82	2567	17913
83	2589	17820
84	2608	17708
85	2635	17654
86	2660	17582
87	2685	17516
88	2707	17431
89	2738	17406
90	2760	17324
91	2777	17211
92	2808	17183
93	2834	17126
94	2858	17058
95	2884	17009
96	2911	16961
97	2935	16892
98	2958	16824
99	2985	16776
100	3005	16693
101	3030	16639
102	3050	16553
103	3079	16522
104	3120	16552
105	3143	16490
106	3164	16413
107	3180	16316
108	3200	16238
109	3226	16191
110	3247	16120
111	3275	16085
112	3295	16009
113	3326	15990
114	3345	15913
115	3366	15845
116	3404	15858
117	3424	15786
118	3444	15717
119	3474	15694
120	3500	15651
121	3523	15597
122	3542	15523
123	3569	15488
124	3593	15435
125	3613	15371
126	3641	15338
127	3665	15293
128	3687	15237
129	3715	15206
130	3736	15146
131	3757	15085
132	3774	15012
133	3796	14960
134	3822	14920
135	3842	14863
136	3866	14817
137	3897	14800
138	3919	14747
139	3943	14704
140	3968	14665
141	3989	14608
142	4009	14553
143	4038	14525
144	4060	14477
145	4087	14447
146	4106	14386
147	4135	14361
148	4161	14327
149	4178	14263
150	4200	14215
151	4222	14168
152	4249	14136
153	4275	14105
154	4302	14074
155	4333	14056
156	4350	13993
157	4369	13937
158	4390	13889
159	4404	13818
160	4418	13749
